id,data_criacao,titulo,cidade,estado,resolvido:bool,conteudo,tipo_postagem,ordem_da_interacao,tipo_interacao,id_pai
887294ae05f12316032481eae6594bee,2021-04-13,Correios - Boa tarde !,São João Del Rei,MG,False,"
				Boa tarde !

No dia 08/04/2021, por volta das 14:00h fui a agência dos Correios 20307144, localizada em Barbacena-MG, para solicitar um envio de mercadoria para o estado de São Paulo. Ao chegar a agência, havia somente um cliente na minha frente e três funcionários prestando atendimento, até pensei que seria rápido o atendimento, mas fui surpreendido. Além da demora para ser atendido, tive o desprazer de ficar ouvindo as reclamações da funcionária referente ao seus instrumentos de trabalho.
Como se já não bastasse, fui persuadido por várias vezes para alterar minha forma de envio de PAC para SEDEX, ao recusar a insistência da funcionária percebi um descaso no atendimento e para piorar a situação, tive incluído em meu envio duas tarifas não solicitadas, AVISO DE RECEBIMENTO R$ 6,35  e VALOR DECLARADO R$ 9,59.
Durante o atendimento foi solicitado meu e-mail e em nenhum momento fui informado que seria para me cobrar algum tipo de serviço. Antes de me direcionar a agência, fiz a simulação de envio através do site dos Correios e o valor não passaria de R$ 30,00 mas ao realizar  pagamento o valor total foi de R$ 45,34.

A disposição!",complaint,0,COMPLAINT,887294ae05f12316032481eae6594bee
c738212d56a11e8318cd133ba4451e24,2021-04-13,Correios - Boa tarde !,São João Del Rei,MG,False,"
				Prezado Cliente, para que possamos verificar o ocorrido e tomar as devidas providências, necessitamos de informações adicionais. Caso a sua manifestação envolva um objeto postal registrado, solicitamos acessar o endereço http://apps2.correios.com.br/faleconosco/app/cadastro/reclamacao/index.php?codigo=NDYz e selecionar a opção ""Inconformidade na entrega de remessa/Objeto Postal"". ",interaction,1,ANSWER,887294ae05f12316032481eae6594bee
93f940aea8fb132e7d04e0a310d7ae37,2021-04-25,Samsung - Fui realizar essa ultima atualização do android e pela SEGUNDA VEZ meu aparelho travou na tela I BELIVE IN YOUR GALAXY e não sai disso!,Belo Horizonte,MG,False,"
				Fui realizar essa ultima atualização do android e pela SEGUNDA VEZ meu aparelho travou na tela I BELIVE IN YOUR GALAXY e não sai disso! Mesmo tentando reiniciar forcadamente nada resolve! Isso já havia acontecido na atualização do Android 11 e eu PERDI TUDO NO APARELHO! Dessa vez não vou querer apenas o conserto mas sim um aparelho novo como me garante o CDC em caso de defeito de fabrica recorrente, e vou processar a samsung pois vai ser a segunda vez que perco tudo! Isso é um ABSURDO! Segue em anexo a nota fiscal e o recibo da autorizada da primeira vez que isso ocorreu! Amanhã dia 26/04 estarei indo na autorizada novamente.",complaint,0,COMPLAINT,93f940aea8fb132e7d04e0a310d7ae37
5d51c9f4200747bec439f165d8b9832f,2021-04-25,Samsung - Fui realizar essa ultima atualização do android e pela SEGUNDA VEZ meu aparelho travou na tela I BELIVE IN YOUR GALAXY e não sai disso!,Belo Horizonte,MG,False,"
				Caro cliente,

 

Conforme contato realizado através desta plataforma, os esclarecimentos necessários foram prestados. Além disso, está disponível maiores detalhes no histórico de seu protocolo. Qualquer dúvida estamos à disposição em nosso canal de atendimento no telefone informado pelo nosso especialista.

 

Atenciosamente,
Samsung Eletrônica da Amazônia",interaction,1,ANSWER,93f940aea8fb132e7d04e0a310d7ae37
54e137844bc889aebdb5357cbba0dde4,2021-04-14,"Vivo - Telefônica - Ao contatar a empresa, solicitei a 2ª via de contas DETALHADAS do meu plano, porém recebi a fatura simplificada e só de alguns meses.",Caratinga,MG,False,"
				Ao contatar a empresa, solicitei a 2ª via de contas DETALHADAS do meu plano, porém recebi a fatura simplificada e só de alguns meses.",complaint,0,COMPLAINT,54e137844bc889aebdb5357cbba0dde4
3d8accd9eea4880af3cf61d8e7149405,2021-04-14,"Vivo - Telefônica - Ao contatar a empresa, solicitei a 2ª via de contas DETALHADAS do meu plano, porém recebi a fatura simplificada e só de alguns meses.",Caratinga,MG,False,"
				Prezada Sra. Vitoria

Realizamos tentativa de contato no dia 24/04/2021 porém não obtivemos sucesso.

Desta forma, segue carta anexa com as informações e as providências que foram tomadas com relação ao seu questionamento juntamente com a análise da operadora.

Estamos à disposição para quaisquer esclarecimentos através do e-mail inserido em carta resposta ou dos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058.

Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação.

FAVOR VISUALIZAR O CAMPO “ANEXOS”.

Obs.: Em caso de consulta pelo celular, poderá não ser disponibilizado a carta anexa pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet.

Atenciosamente,
Órgão de Defesa do Consumidor – Telefônica | Vivo.",interaction,1,ANSWER,54e137844bc889aebdb5357cbba0dde4
03b3cb55a1ea9684ec3f2e28a7f19bb2,2021-04-13,Vivo - Telefônica - Fiz uma reclamação anteriormente a respeito de um débito em aberto na Serasa  a atendente me informou que no prazo de 5 dias isso  seria resolvido mas já se passaram  muitos dias e o débito ainda continua em aberto.,Carmópolis de Minas,MG,False,"
				Fiz uma reclamação anteriormente a respeito de um débito em aberto na Serasa  a atendente me informou que no prazo de 5 dias isso  seria resolvido mas já se passaram  muitos dias e o débito ainda continua em aberto. Também tentei entrar no app meu vivo para fazer o pagamento de uma conta em atraso e meu número foi cancelado novamente tentei contato pelo 1058 e quando peço a segunda via diz que ocorreu um erro  no sistema  não tem como eu pagar a fatura se não tenho código de barras",complaint,0,COMPLAINT,03b3cb55a1ea9684ec3f2e28a7f19bb2
b487204e0440da4da31cbdab061d2cee,2021-04-13,Vivo - Telefônica - Fiz uma reclamação anteriormente a respeito de um débito em aberto na Serasa  a atendente me informou que no prazo de 5 dias isso  seria resolvido mas já se passaram  muitos dias e o débito ainda continua em aberto.,Carmópolis de Minas,MG,False,"
				Prezada Sra. Juliana

Realizamos tentativa de contato no dia 24/04/2021 porém não obtivemos sucesso.

Desta forma, segue carta anexa com as informações e as providências que foram tomadas com relação ao seu questionamento juntamente com a análise da operadora.

Estamos à disposição para quaisquer esclarecimentos através do e-mail inserido em carta resposta ou dos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058.

Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação.

FAVOR VISUALIZAR O CAMPO “ANEXOS”.

Obs.: Em caso de consulta pelo celular, poderá não ser disponibilizado a carta anexa pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet.

Atenciosamente,
Órgão de Defesa do Consumidor – Telefônica | Vivo.",interaction,1,ANSWER,03b3cb55a1ea9684ec3f2e28a7f19bb2
2847a2e9642040e8d90f17cdc9dff562,2021-04-14,"Vivo - Telefônica - Solicitei a Vivo plano para o número (33) XXXXX-X630, no valor de R$ 29,99.",Santa Bárbara do Leste,MG,False,"
				Solicitei a Vivo plano para o número (33) XXXXX-X630, no valor de R$ 29,99. Acontece que há alguns meses alteraram o valor para R$ 34,98, sem antes me comunicarem. Entrei em contato e posteriormente com reclamação no consumidor.gov (em julho de 2020) e retornaram o valor para o que foi realmente contratado. Acontece que novamente estão me cobrando por um valor acima do contratado (R$ 34,99), solicitei então o cancelamento do plano, sem sucesso.",complaint,0,COMPLAINT,2847a2e9642040e8d90f17cdc9dff562
25d624b2abff018f5810e7341f2c90f4,2021-04-14,"Vivo - Telefônica - Solicitei a Vivo plano para o número (33) XXXXX-X630, no valor de R$ 29,99.",Santa Bárbara do Leste,MG,False,"
				Contatamos o responsável pela manifestação no dia 24/04/2021, o qual ficou ciente das informações e das providências que foram tomadas com relação ao seu questionamento.
Estamos à disposição para quaisquer esclarecimentos sobre esta demanda através do e-mail informado na carta anexo e para demais assuntos, favor nos contatar pelos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058.
Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação.

FAVOR VISUALIZAR O CAMPO “ANEXOS”. 
Obs.: Em caso de consulta pelo celular, poderá não ser visualizada a carta anexa, pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet.

Atenciosamente, 
Órgão de Defesa do Consumidor – Telefônica | Vivo.",interaction,1,ANSWER,2847a2e9642040e8d90f17cdc9dff562
